Date,MSFT,APPL,NVDA,AMZN,META,GOOG,BRK-B,AVGO,LLY,JPM,TSLA,XOM,V,PG,MA,JNJ,COST,HD,MRK,ABBV
1/1/2014,30.547588,16.864452,0.380627,19.901501,57.858608,28.332937,116.190002,40.126804,41.078297,43.589592,9.957333,64.608032,51.448132,60.295414,78.479935,71.287041,93.062775,63.884087,34.914391,32.894676
1/8/2014,30.01902,17.06275,0.373552,19.877001,57.678802,28.595156,114.959999,41.853333,42.08139,43.438347,10.751333,63.361523,51.712898,59.88813,77.140656,67.949898,93.359955,63.499989,36.928017,32.966339
1/15/2014,30.34622,17.146441,0.378505,20.352501,58.447983,28.950916,115.150002,42.489418,44.609146,43.761833,11.778667,62.965191,53.86829,59.377163,76.837418,66.345131,92.315773,63.06889,36.112812,32.833466
1/22/2014,30.430128,15.81706,0.368128,19.7215,55.081558,27.938616,112.010002,41.43684,43.517792,41.933723,11.892,61.143341,51.320381,58.584751,74.004211,67.522476,91.874016,61.563877,36.837452,31.316553
1/29/2014,30.497252,15.888577,0.367421,17.397499,62.683491,28.315525,109.129997,40.899185,42.611004,41.339394,11.915333,57.544422,49.829273,56.774563,68.643753,69.562256,89.070702,58.765541,37.283356,31.487286
2/5/2014,31.185215,16.737043,0.383221,18.0895,64.781265,29.609694,113.610001,43.973633,43.742474,43.205128,13.108,58.0686,51.638588,58.826488,71.525803,68.63237,92.363953,60.121586,38.80925,32.610191
2/12/2014,31.394964,17.152327,0.422133,17.682501,67.228676,30.124676,114.730003,44.200817,44.336311,44.002571,13.58,60.559277,52.504917,58.177345,72.746231,69.579407,92.661171,60.803547,38.802277,33.792194
2/19/2014,31.731827,16.400558,0.441943,17.916,69.775963,30.351566,113.940002,44.677891,47.353939,42.904202,16.533333,62.001289,52.843872,58.289291,72.042152,70.485786,92.99218,63.476479,38.955574,33.306259
2/26/2014,32.467205,16.688946,0.437779,18.195,68.727081,30.224936,118.57,47.971939,48.46331,43.077225,16.989332,62.13649,52.469246,58.535496,73.694366,70.100563,93.950615,64.957993,39.756832,33.877556
3/5/2014,32.137554,16.841305,0.432804,18.441,70.025703,29.853752,124.690002,46.964787,47.313465,43.77689,15.627333,60.52063,52.860146,58.908554,73.131134,72.457161,92.388145,63.719475,39.499039,33.982632
3/12/2014,33.430847,16.69397,0.432093,18.938499,69.116669,30.13413,123.279999,48.327835,48.098923,43.679096,16.002666,60.971264,52.680984,59.52042,74.088676,73.597672,91.695465,62.927086,39.269112,34.869137
3/19/2014,34.098591,17.120907,0.437068,17.7355,64.82122,28.827021,124.470001,48.671375,46.325573,45.838207,14.696,61.100025,50.817219,59.550262,70.671509,74.337891,91.759895,62.651192,38.754063,33.94323
3/26/2014,35.011505,17.015982,0.441806,17.1495,62.553627,28.248211,124.879997,49.469898,47.629272,45.642616,14.464667,62.915447,49.956306,59.945728,70.230278,73.167145,90.092728,62.580185,39.582642,34.212467
4/2/2014,33.659058,16.443909,0.446781,16.3535,58.128323,27.637585,123.129997,45.758705,47.434925,44.273407,14.364,62.735214,47.138557,60.699333,67.141716,74.745743,90.737045,60.790638,38.648735,32.242455
4/9/2014,33.599884,16.271751,0.437068,15.804,59.02737,26.718159,123.769997,44.823299,48.11512,41.486401,12.927333,63.527027,47.478275,60.318806,67.836502,75.372643,90.253799,59.828842,39.357952,31.428194
4/16/2014,33.80275,16.703398,0.447018,16.466,62.963196,26.636974,127.150002,48.245506,48.609062,42.251022,14.576,64.61499,48.855736,60.624722,70.074226,75.010086,91.461922,62.808846,40.565727,33.133919
4/23/2014,34.242287,18.608089,0.442754,15.019,58.088367,26.282848,128.490005,46.329079,48.277061,42.470566,13.794667,65.310242,47.157181,61.512634,67.723694,76.218613,92.943855,62.690598,41.232811,34.034988
4/30/2014,33.016651,18.673439,0.43233,14.869,58.467964,25.65728,124.669998,51.211414,47.418732,40.381104,13.818667,66.095657,47.783092,61.018829,69.39727,75.96933,90.873955,61.03503,40.102272,33.730217
5/7/2014,34.166206,18.653015,0.433041,15.232,59.76659,26.551306,127.889999,52.291328,48.617165,41.350124,12.677333,65.896088,49.342037,61.37981,70.356293,76.271484,93.660675,60.916782,39.147301,34.584908
5/14/2014,33.777332,19.103119,0.432093,15.0595,58.497932,26.38595,126.059998,51.348316,47.894676,40.668789,13.02,65.248123,48.378746,60.341919,69.246841,77.168106,92.72641,61.460716,39.322838,35.472729
5/21/2014,34.211479,19.763992,0.447887,15.541,63.412716,28.187946,127.519997,53.941601,48.768307,41.743801,14.104,65.69532,50.004089,60.229118,72.424744,78.476311,91.992416,62.824638,39.807346,35.770851
5/28/2014,34.296589,20.140242,0.448839,15.3595,62.803364,27.141512,126.93,54.337025,48.458042,42.092045,13.662667,65.06665,49.262779,60.116306,71.785439,77.981926,93.317314,63.597198,40.664024,36.022621
